title,glass,garnish,recipe,ingredients,raw_ingredients
Rose Crescent,Old-fashioned glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['4 cl', 'Rémy Martin 1738 Cognac'], ['1 cl', 'Island single malt Scotch whisky'], ['1 cl', 'Bénédictine D.O.M.'], ['1.5 cl', 'Ginger cordial (non-alcoholic)'], ['2 dash', 'Orange Bitters by Angostura']]","[['4 cl', 'cognac'], ['1 cl', 'scotch whisky'], ['1 cl', 'bénédictine d.o.m.'], ['1.5 cl', 'gin'], ['2 dash', 'angostura']]"
V.S.M. Flip,Coupe glass,Spray glass with gold chocolate spray & grate dark chocolate over drink.,SHAKE all ingredients with ice and strain into chocolate sprayed glass.,"[['2 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Coffee liqueur'], ['2 cl', 'Mozart Chocolate Vodka'], ['0.5 cl', 'Single cream / half-and-half'], ['1 fresh', 'Egg (white & yolk)']]","[['2 cl', 'cognac'], ['2 cl', 'coffee liqueur'], ['2 cl', 'vodka'], ['0.5 cl', 'single cream / half-and-half'], ['1 fresh', 'egg']]"
Le Roi Soleil (The Sun King),Coupe glass,Blackberry & raspberry dusted with icing sugar plus dark chocolate.,"MUDDLE blackberries in stirring glass. Add other ingredients, STIR with ice and fine strain into chilled glass. (Be sure to use very fine strainer and beware this recipe only fills a 3oz glass so consider multiplying ingredients.)","[['3 fresh', 'Blackberries'], ['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['0.5 cl', 'De Kuyper Triple Sec (40%)'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash', ""Peychaud's or other Creole-style bitters""]]","[['3 fresh', 'blackberries'], ['4.5 cl', 'cognac'], ['1 cl', 'giffard framboise de ronce'], ['0.5 cl', 'triple sec'], ['0.5 cl', 'sugar syrup'], ['1 dash', ""peychaud's bitter""]]"
La Bouche Reelle (The Real Mouth),Old-fashioned glass,Orange zest twist (discarded) & orange wedge,SHAKE all ingredients with ice and serve into ice-filled glass.,"[['2 spoon', 'Orange marmalade'], ['3 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Bourbon whiskey'], ['1.5 cl', 'Italian red bitter liqueur'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['2 dash', 'Orange Bitters by Angostura'], ['1.5 cl', 'Pasteurised egg white'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['2 spoon', 'orange marmalade'], ['3 cl', 'cognac'], ['1.5 cl', 'bourbon whiskey'], ['1.5 cl', 'italian red bitter liqueur'], ['1.5 cl', 'lemon juice'], ['2 dash', 'angostura'], ['1.5 cl', 'egg white'], ['0.5 cl', 'sugar syrup']]"
Omedetai Tricentenaire,Coupe glass,Orange zest twist.,STIR all ingredients with ice and strain into chilled glass.,"[['5 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Umeshu plum sake'], ['3 dash', 'Maple bitters']]","[['5 cl', 'cognac'], ['3 cl', 'umeshu plum sake'], ['3 dash', 'maple bitters']]"
The Burly French Man,Old-fashioned glass,Lemon zest twist (discarded).,RINSE chilled glass with absinthe and set to one side. STIR other ingredients with ice and strain into absinthe rinsed glass.,"[['0.5 cl', 'La Fée Parisienne absinthe'], ['5 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Vermouth di Torino'], ['2 cl', 'Green Chartreuse liqueur'], ['1 cl', 'Damson vodka liqueur'], ['1 dash', 'Orange Bitters by Angostura'], ['1 dash', 'Angostura Aromatic Bitters']]","[['0.5 cl', 'absinthe'], ['5 cl', 'cognac'], ['2 cl', 'vermouth di torino'], ['2 cl', 'green chartreuse liqueur'], ['1 cl', 'vodka'], ['1 dash', 'angostura'], ['1 dash', 'angostura']]"
A L'Ancienne du Bois (A woody Old Fashioned),Old-fashioned glass,Orange zest twist.,MUDDLE cherries with bitters and maple syrup in base of glass. Add 3 ice cubes and STIR. Add cognac and 3 more ice cubes and STIR again. Add walnut liqueur and 2 more ice cubes and STIR some more.,"[['5 whole', 'Syrup from Luxardo Maraschino Cherries'], ['4 cl', 'Rémy Martin 1738 Cognac'], ['1 cl', 'Nocello walnut liqueur'], ['0.5 cl', 'Maple syrup'], ['4 dash', ""Peychaud's or other Creole-style bitters""]]","[['5 whole', 'syrup from luxardo maraschino cherries'], ['4 cl', 'cognac'], ['1 cl', 'nocello walnut liqueur'], ['0.5 cl', 'maple syrup'], ['4 dash', ""peychaud's bitter""]]"
Gold Phantom,Old-fashioned glass,Pineapple wedge and silver dragees (cake making balls).,SHAKE all ingredients with ice and strain into ice-filled glass.,"[['5 cl', 'Rémy Martin 1738 Cognac'], ['2 spoon', 'Honey'], ['1.5 cl', 'Licor 43 Original liqueur'], ['2.25 cl', 'Pineapple juice (fresh pressed)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 pinch', 'Salt']]","[['5 cl', 'cognac'], ['2 spoon', 'honey'], ['1.5 cl', 'gin'], ['2.25 cl', 'pineapple juice'], ['1.5 cl', 'lemon juice'], ['1 pinch', 'salt']]"
XOXO,Old-fashioned glass,Orange zest twist.,STIR all ingredients with ice and strain into ice-filled glass (preferably block ice).,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['1 cl', 'Pedro Ximénez sherry'], ['1.5 cl', 'Dark chocolate liqueur'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1 dash', 'Orange Bitters by Angostura']]","[['3 cl', 'cognac'], ['1 cl', 'pedro ximénez sherry'], ['1.5 cl', 'dark chocolate liqueur'], ['1.5 cl', 'triple sec'], ['1 dash', 'angostura']]"
Carnaghino,Old-fashioned glass,Dark chocolate and pistacchio shave.,STIR all ingredients with ice and strain into ice-filled glass (preferably block ice).,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Dark chocolate liqueur'], ['1.5 cl', 'Pistachio liqueur']]","[['4.5 cl', 'cognac'], ['1.5 cl', 'dark chocolate liqueur'], ['1.5 cl', 'pistachio liqueur']]"
Le Coq d'Or (The Golden Rooster),Coupe glass,Grapefruit zest twist (discarded) & float star anise,"Saturate sugar cube with Peychaud's in base of shaker and MUDDLE thoroughly. Add cognac and stir to ensure sugar is dissolved. Add other ingredients, SHAKE with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass.","[['1 cube', 'Demerara / dark Muscovado / brown sugar'], ['3 dash', ""Peychaud's or other Creole-style bitters""], ['7.5 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', ""Galliano L'Autentico liqueur""], ['1.5 cl', 'Grapefruit juice (pink)'], ['3 cl', 'Pineapple juice (fresh pressed)'], ['1 dash', 'Orange Bitters by Angostura'], ['2 dash', 'Pimento bitters'], ['1 fresh', 'Egg yolk']]","[['1 cube', 'demerara / dark muscovado / brown sugar'], ['3 dash', ""peychaud's bitter""], ['7.5 cl', 'cognac'], ['2 cl', ""galliano l'autentico liqueur""], ['1.5 cl', 'grapefruit juice'], ['3 cl', 'pineapple juice'], ['1 dash', 'angostura'], ['2 dash', 'pimento bitters'], ['1 fresh', 'egg white']]"
Don Pone,Nick & Nora glass,Skewered crystalised ginger & dust with grated dark chocolate,RINSE glass with maraschino liqueur. STIR other ingredients with ice and strain into maraschino rinsed glass.,"[['0.25 cl', 'Luxardo Maraschino liqueur'], ['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Dutch Cacao white crème de cacao'], ['1 cl', 'Ginger liqueur']]","[['0.25 cl', 'maraschino'], ['4.5 cl', 'cognac'], ['1.5 cl', 'dutch cacao white crème de cacao'], ['1 cl', 'gin']]"
Drugstore Cowboy,Coupe glass,Nutmeg,"MUDDLE cardamom in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['3 whole', 'Green cardamom pods'], ['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Bénédictine D.O.M.'], ['2.25 cl', 'De Kuyper Apricot Brandy liqueur'], ['2.25 cl', 'Lemon juice (freshly squeezed)']]","[['3 whole', 'green cardamom pods'], ['4.5 cl', 'cognac'], ['2.25 cl', 'bénédictine d.o.m.'], ['2.25 cl', 'apricot brandy liqueur'], ['2.25 cl', 'lemon juice']]"
L'Heritage,Coupe glass,Orange zest twist (discarded) & Luxardo maraschino cherry,STIR all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['4.5 cl', 'Lillet Blanc (or other aromatized wine)'], ['1 cl', 'Suze gentian liqueur'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', ""Peychaud's or other Creole-style bitters""], ['2 dash', 'Angostura Aromatic Bitters']]","[['4.5 cl', 'cognac'], ['4.5 cl', 'lillet blanc'], ['1 cl', 'suze'], ['0.5 cl', 'sugar syrup'], ['2 dash', ""peychaud's bitter""], ['2 dash', 'angostura']]"
Saronno's Sweetheart,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Disaronno amaretto'], ['2 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'De Kuyper Apricot Brandy liqueur'], ['1 cl', 'Rhubarb sugar syrup'], ['2 dash', 'Orange Bitters by Angostura']]","[['3 cl', 'cognac'], ['2 cl', 'amaretto'], ['2 cl', 'lemon juice'], ['1.5 cl', 'apricot brandy liqueur'], ['1 cl', 'rhubarb sugar syrup'], ['2 dash', 'angostura']]"
Sazeroy,Coupe glass,Lemon zest twist (discarded) & maraschino cherry on stick,RINSE chilled glass with absinthe. STIR other ingredients with ice and strain into absinthe rinsed glass.,"[['3 dash', 'La Fée Parisienne absinthe'], ['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1 cl', 'Lillet Rouge'], ['0.5 cl', 'Straight rye whiskey (100 proof / 50% alc./vol.)'], ['0.5 cl', ""Dewar's 12 Year Old Scotch whisky""], ['0.75 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', ""Peychaud's or other Creole-style bitters""]]","[['3 dash', 'absinthe'], ['4.5 cl', 'cognac'], ['1 cl', 'lillet rouge'], ['0.5 cl', 'rye whiskey'], ['0.5 cl', 'scotch whisky'], ['0.75 cl', 'sugar syrup'], ['2 dash', ""peychaud's bitter""]]"
French Diamond,Coupe glass,Lemon zest twist,SHAKE all ingredients with ice and strain into chilled glass.,"[['4.5 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Bénédictine D.O.M.'], ['1 cl', 'Maple syrup'], ['1 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Orange juice (freshly squeezed)'], ['1 dash', 'Angostura Aromatic Bitters']]","[['4.5 cl', 'cognac'], ['2 cl', 'bénédictine d.o.m.'], ['1 cl', 'maple syrup'], ['1 cl', 'lemon juice'], ['1.5 cl', 'orange juice'], ['1 dash', 'angostura']]"
Chanteloup Champagne Flip,Flute glass,Mint sprig tip & dust with freshly grated nutmeg,SHAKE first 7 ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass. TOP with champagne.,"[['4 cl', 'Rémy Martin 1738 Cognac'], ['0.5 cl', 'Pedro Ximénez sherry'], ['0.5 cl', 'Giffard Parfait Amour liqueur'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash', 'Angostura Aromatic Bitters'], ['1.5 cl', 'Chilled water'], ['1 fresh', 'Egg yolk'], ['Top up with', 'Brut Champagne']]","[['4 cl', 'cognac'], ['0.5 cl', 'pedro ximénez sherry'], ['0.5 cl', 'giffard parfait amour liqueur'], ['0.5 cl', 'sugar syrup'], ['1 dash', 'angostura'], ['1.5 cl', 'chilled water'], ['1 fresh', 'egg white'], ['Top up with', 'brut champagne']]"
Bakewell Tart Sour,Old-fashioned glass,Lemon zest twist & cherries,SHAKE all ingredients with ice and strain into ice-filled glass (preferably over a large ice cube or ice ball).,"[['4 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Disaronno amaretto'], ['0.75 cl', 'Syrup from Luxardo Maraschino Cherries'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 dash', 'Angostura Aromatic Bitters']]","[['4 cl', 'cognac'], ['3 cl', 'amaretto'], ['0.75 cl', 'syrup from luxardo maraschino cherries'], ['1.5 cl', 'lemon juice'], ['1 dash', 'angostura']]"
Winston's Crusta,Coupe glass,Float half passion fruit,"Scoop half passion fruit into shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.","[['1⁄2 fresh', 'Passion fruit'], ['3 cl', 'Rémy Martin 1738 Cognac'], ['2 cl', 'Avallen Calvados'], ['0.5 cl', 'Luxardo Maraschino liqueur'], ['2 cl', 'Grapefruit juice (pink)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 cl', 'Giffard Grenadine syrup'], ['3 dash', ""Peychaud's or other Creole-style bitters""]]","[['1⁄2 fresh', 'passion fruit'], ['3 cl', 'cognac'], ['2 cl', 'calvados'], ['0.5 cl', 'maraschino'], ['2 cl', 'grapefruit juice'], ['1.5 cl', 'lemon juice'], ['1 cl', 'giffard grenadine syrup'], ['3 dash', ""peychaud's bitter""]]"
Suit & Tai,Old-fashioned glass,Lime zest twist,SHAKE all ingredients and strain into glass filled with crushed ice and serve with short straws.,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Havana Club 7yo rum'], ['3 cl', 'Lime juice (freshly squeezed)'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Giffard Orgeat Syrup'], ['1 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['1 dash', 'Angostura Aromatic Bitters']]","[['3 cl', 'cognac'], ['3 cl', 'amber rum'], ['3 cl', 'lime juice'], ['1.5 cl', 'triple sec'], ['1.5 cl', 'giffard orgeat syrup'], ['1 cl', 'sugar syrup'], ['1 dash', 'angostura']]"
Triomphe d'Anis (Triumph of Aniseed),Coupe glass,Orange zest twist (discarded) & float star anise,RINSE glass with absinthe. STIR other ingredients with ice and strain into absinthe rinsed glass.,"[['0.5 cl', 'La Fée Parisienne absinthe'], ['1 dried', 'Star anise'], ['4.5 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Bénédictine D.O.M.'], ['1.5 cl', 'Coffee liqueur'], ['0.75 cl', 'Fino sherry']]","[['0.5 cl', 'absinthe'], ['1 dried', 'star anise'], ['4.5 cl', 'cognac'], ['1.5 cl', 'bénédictine d.o.m.'], ['1.5 cl', 'coffee liqueur'], ['0.75 cl', 'fino sherry']]"
Heard It Through The Grapevine,Coupe glass,Frozen grape & lemon zest garnish,STIR all ingredients with ice and strain into chilled glass.,"[['1.5 cl', 'Muscat (Rutherglen) wine'], ['1 cl', 'Birch sap liqueur'], ['2 cl', 'Rémy Martin 1738 Cognac'], ['0.5 cl', 'Luxardo Maraschino liqueur'], ['1 cl', 'Peppercorn syrup 1:1 (homemade)'], ['2 dash', 'Lemon bitters'], ['1 dash', 'Angostura Aromatic Bitters']]","[['1.5 cl', 'muscat  wine'], ['1 cl', 'birch sap liqueur'], ['2 cl', 'cognac'], ['0.5 cl', 'maraschino'], ['1 cl', 'peppercorn syrup 1:1'], ['2 dash', 'lemon bitters'], ['1 dash', 'angostura']]"
Baker's Tarte,Coupe glass,Sprinkle crushed dried raspberries over drink,SHAKE all ingredients with ice and strain into chilled glass.,"[['3 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Mandarine Napoleon liqueur'], ['1.5 cl', 'De Kuyper Triple Sec (40%)'], ['1.5 cl', 'Lemon juice (freshly squeezed)'], ['1 spoon', 'Orange curd']]","[['3 cl', 'cognac'], ['3 cl', 'mandarine napoleon liqueur'], ['1.5 cl', 'triple sec'], ['1.5 cl', 'lemon juice'], ['1 spoon', 'orange curd']]"
Soir d'Ete (Summer Evening),Coupe glass,Lemon zest twist and fresh lavender sprig/dried lavender blossom,STIR in all ingredients with ice and strain into chilled glass. (Or strain into ice-filled old-fashioned glass.),"[['5 cl', 'Rémy Martin 1738 Cognac'], ['3 cl', 'Giffard Framboise de Ronce (raspberry liqueur)'], ['2 cl', 'Camomile tea (cold) (infused with lavender)'], ['2.25 cl', 'Chilled water (omit if using wet ice)']]","[['5 cl', 'cognac'], ['3 cl', 'giffard framboise de ronce'], ['2 cl', 'camomile tea'], ['2.25 cl', 'chilled water']]"
"The Good, The Bad and the Ugni",Old-fashioned glass,Grapefruit zest twist,"SHAKE first 3 ingredients with ice and strain into ice-filled glass (preferably block of ice). Lastly, FLOAT Chartreuse.","[['4 cl', 'Rémy Martin 1738 Cognac'], ['1.5 cl', 'Canadian icewine'], ['3 cl', 'Grapefruit juice (pink)'], ['1 cl', 'Green Chartreuse liqueur']]","[['4 cl', 'cognac'], ['1.5 cl', 'canadian icewine'], ['3 cl', 'grapefruit juice'], ['1 cl', 'green chartreuse liqueur']]"
Fireplace Fashioned,Old-fashioned glass,Lemon zest twist (discarded) & rosemary sprig,"POUR whisky and water into ice-filled glass and set aside. Separately, STIR other ingredients with ice. Discard contents of glass and strain stirred cocktail into the chilled Islay whisky washed glass.","[['0.75 cl', 'Islay single malt (peated) Scotch whisky'], ['12 cl', 'Chilled water'], ['5 cl', 'Rémy Martin 1738 Cognac'], ['1 cl', 'Honey sugar syrup'], ['0.5 cl', 'Cinnamon sugar syrup'], ['2 dash', ""Peychaud's or other Creole-style bitters""]]","[['0.75 cl', 'scotch whisky'], ['12 cl', 'chilled water'], ['5 cl', 'cognac'], ['1 cl', 'honey syrup'], ['0.5 cl', 'cinnamon sugar syrup'], ['2 dash', ""peychaud's bitter""]]"
Jersey Rose,Coupe glass,Dried rose petals,SHAKE first 4 ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into chilled glass. TOP up with cider and add bitters onto foam for aroma.,"[['5 cl', 'Rémy Martin 1738 Cognac'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Strawberry candy (bonbon) syrup'], ['2.25 cl', 'Pomegranate juice'], ['1.5 cl', 'Pasteurised egg white'], ['3 cl', 'Medium dry apple cider'], ['3 dash', 'Aphrodite Bitters']]","[['5 cl', 'cognac'], ['2.25 cl', 'lemon juice'], ['1.5 cl', 'strawberry candy  syrup'], ['2.25 cl', 'pomegranate juice'], ['1.5 cl', 'egg white'], ['3 cl', 'apple cider'], ['3 dash', 'aphrodite bitters']]"
20th Century Cocktail,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['5 cl', 'Rutte Dry Gin'], ['3 cl', 'Dutch Cacao white crème de cacao'], ['3 cl', 'Americano Bianco'], ['1 cl', 'Lemon juice (freshly squeezed)']]","[['5 cl', 'gin'], ['3 cl', 'dutch cacao white crème de cacao'], ['3 cl', 'americano bianco'], ['1 cl', 'lemon juice']]"
Love On Sale,Nick & Nora glass,Orange zest twist,SHAKE all ingredients with ice and fine strain into chilled glass.,"[['3 cl', 'Unaged rye spirit'], ['2 cl', 'St-Germain elderflower liqueur'], ['2 cl', 'Martini Extra Dry vermouth'], ['1 cl', 'Luxardo Maraschino liqueur'], ['1 cl', 'Lemon juice (freshly squeezed)']]","[['3 cl', 'unaged rye spirit'], ['2 cl', 'st-germain elderflower liqueur'], ['2 cl', 'dry vermouth'], ['1 cl', 'maraschino'], ['1 cl', 'lemon juice']]"
White Old Fashioned,Old-fashioned glass,Grapefruit zest twist,STIR all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Bacardi Carta Blanca light rum'], ['1 cl', 'Clement Sirop de Canne'], ['2 dash', 'Sexy bitters']]","[['6 cl', 'white rum'], ['1 cl', 'clement sirop de canne'], ['2 dash', 'sexy bitters']]"
Gin Old Fashioned,Old-fashioned glass,Lemon zest twist,STIR all ingredients with ice and strain into ice-filled glass.,"[['6 cl', 'Rutte Old Simon Genever'], ['0.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)'], ['2 dash', 'Angostura Aromatic Bitters']]","[['6 cl', 'rutte old simon genever'], ['0.5 cl', 'sugar syrup'], ['2 dash', 'angostura']]"
Velasco and Sand,Coupe glass,Orange zest twist,SHAKE all ingredients with ice and strain into chilled glass.,"[['3 cl', 'Del Maguey VIDA mezcal'], ['2.25 cl', 'Cherry Heering cherry brandy liqueur'], ['2.25 cl', 'Martini Rosso sweet vermouth'], ['3 cl', 'Orange juice (freshly squeezed)']]","[['3 cl', 'mezcal'], ['2.25 cl', 'cherry brandy liqueur'], ['2.25 cl', 'red vermouth'], ['3 cl', 'orange juice']]"
Grapefruit Soda (Non-alcoholic),Collins glass,Pink or red grapefruit wedge,POUR ingredients into ice-filled glass and lightly stir.,"[['3 cl', 'Grapefruit juice (ruby red)'], ['15 cl', 'Thomas Henry Pink Grapefruit soda']]","[['3 cl', 'grapefruit juice'], ['15 cl', 'grapefruit soda']]"
The Munich Negroni Western Style,Old-fashioned glass,Orange slice & square of dark chocolate,STIR all ingredients with ice and strain into ice-filled glass.,"[['2 cl', 'Bourbon whiskey'], ['2 cl', 'Italian red bitter liqueur'], ['2 cl', 'Hazelnut liqueur'], ['1 cl', 'Antica Formula or other well aged sweet vermouth']]","[['2 cl', 'bourbon whiskey'], ['2 cl', 'italian red bitter liqueur'], ['2 cl', 'hazelnut liqueur'], ['1 cl', 'sweet vermouth']]"
Amsterdamage,Coupe glass,Orange zest twist,STIR all ingredients with ice and strain into chilled glass.,"[['3 cl', 'Rutte Old Simon Genever'], ['3 cl', 'De Kuyper Triple Sec (40%)'], ['3 cl', 'Martini Extra Dry vermouth'], ['1 dash', 'Orange Bitters by Angostura'], ['1.5 cl', 'Chilled water (omit if using wet ice)']]","[['3 cl', 'rutte old simon genever'], ['3 cl', 'triple sec'], ['3 cl', 'dry vermouth'], ['1 dash', 'angostura'], ['1.5 cl', 'chilled water']]"
Smoke & Mirrors (by The Bon Vivants),Old-fashioned glass,Mint sprig,SHAKE all ingredients with ice and fine strain into glass filled with crushed ice.,"[['4 fresh', 'Mint leaves'], ['4.5 cl', 'Rutte Old Simon Genever'], ['1.5 cl', 'Del Maguey VIDA mezcal'], ['2.25 cl', 'Lemon juice (freshly squeezed)'], ['1.5 cl', 'Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']]","[['4 fresh', 'mint leaves'], ['4.5 cl', 'rutte old simon genever'], ['1.5 cl', 'mezcal'], ['2.25 cl', 'lemon juice'], ['1.5 cl', 'sugar syrup']]"
